,1,2,3,4,5,6,7
file_support_04,3,5,6,5,4,3,1
file_support_05,3,5,6,4,4,2,
file_support_06,3,5,4,3,1,,
file_support_07,3,4,2,2,1,,
file_support_08,3,3,1,,,,
file_support_09,3,,,,,,
