,Sample number,Alpha diversity
0,0,58
1,1,54
2,2,70
3,3,70
4,4,79
5,5,78
6,6,59
7,7,36
8,8,63
9,9,70
10,10,63
11,11,59
12,12,68
13,13,63
14,14,53
15,15,52
16,16,49
17,17,49
18,18,66
19,19,66
20,20,59
21,21,93
22,22,102
23,23,55
24,24,51
25,25,70
26,26,56
27,27,40
28,28,60
29,29,55
30,30,54
31,31,62
32,32,61
33,33,65
34,34,63
35,35,61
36,36,67
37,37,46
38,38,37
39,39,63
