,1,2,3,4,5,6,7,8,9,10,11,12,13
file_support_04,26,235,1062,2942,5659,7976,8359,6482,3651,1446,380,59,4
file_support_05,23,170,595,1294,1935,2041,1507,756,244,46,4,,
file_support_06,20,107,291,475,464,267,87,14,1,,,,
file_support_07,15,52,72,42,8,,,,,,,,
file_support_08,8,11,5,,,,,,,,,,
file_support_09,3,1,,,,,,,,,,,
