,1,2,3,4,5,6,7,8,9,10,11,12,13
file_support_04,5,21,61,132,183,172,151,121,98,68,45,23,4
file_support_05,5,20,54,90,96,84,76,60,35,17,4,,
file_support_06,5,18,39,55,59,46,25,7,1,,,,
file_support_07,4,12,24,21,8,,,,,,,,
file_support_08,4,9,5,,,,,,,,,,
file_support_09,3,1,,,,,,,,,,,
