,1,2,3,4,5,6,7,8,9,10,11,12,13
file_support_04,,1,,8,23,37,29,21,16,16,10,11,4
file_support_05,,,6,9,17,13,11,11,14,6,4,,
file_support_06,,1,7,7,13,12,17,5,1,,,,
file_support_07,,1,5,11,8,,,,,,,,
file_support_08,,3,5,,,,,,,,,,
file_support_09,1,1,,,,,,,,,,,
