,count
file_confidence_08_conseq_1_anteced_3,1870
file_confidence_08_conseq_1_anteced_4,4724
file_confidence_08_conseq_1_anteced_6,609
file_confidence_08_conseq_1_anteced_7,112
file_confidence_08_conseq_1_anteced_8,9
file_confidence_08_conseq_2_anteced_1,480
file_confidence_08_conseq_2_anteced_2,2308
file_confidence_08_conseq_2_anteced_3,4364
file_confidence_08_conseq_2_anteced_4,3975
file_confidence_08_conseq_2_anteced_5,1827
file_confidence_08_conseq_2_anteced_6,392
file_confidence_08_conseq_2_anteced_7,36
file_confidence_08_conseq_3_anteced_1,768
file_confidence_08_conseq_3_anteced_2,3249
file_confidence_08_conseq_3_anteced_3,4783
file_confidence_08_conseq_3_anteced_4,3006
file_confidence_08_conseq_3_anteced_5,784
file_confidence_08_conseq_3_anteced_6,84
file_confidence_08_conseq_4_anteced_2,2429
file_confidence_08_conseq_4_anteced_3,2599
file_confidence_08_conseq_4_anteced_4,964
file_confidence_08_conseq_4_anteced_5,812
file_confidence_08_conseq_5_anteced_1,340
file_confidence_08_conseq_5_anteced_2,961
file_confidence_08_conseq_5_anteced_3,656
file_confidence_08_conseq_5_anteced_4,124
file_confidence_08_conseq_6_anteced_1,90
file_confidence_08_conseq_6_anteced_2,191
file_confidence_08_conseq_6_anteced_3,70
file_confidence_08_conseq_7_anteced_1,13
file_confidence_08_conseq_7_anteced_2,17
file_confidence_08_conseq_8_anteced_1,1
file_confidence_09_conseq_1_anteced_2,549
file_confidence_09_conseq_1_anteced_3,1556
file_confidence_09_conseq_1_anteced_4,2031
file_confidence_09_conseq_1_anteced_6,2121
file_confidence_09_conseq_1_anteced_7,112
file_confidence_09_conseq_1_anteced_8,9
file_confidence_09_conseq_2_anteced_1,130
file_confidence_09_conseq_2_anteced_2,968
file_confidence_09_conseq_2_anteced_3,2447
file_confidence_09_conseq_2_anteced_4,2832
file_confidence_09_conseq_2_anteced_5,1568
file_confidence_09_conseq_2_anteced_6,377
file_confidence_09_conseq_2_anteced_7,36
file_confidence_09_conseq_3_anteced_1,93
file_confidence_09_conseq_3_anteced_3,2758
file_confidence_09_conseq_3_anteced_4,1771
file_confidence_09_conseq_3_anteced_5,635
file_confidence_09_conseq_3_anteced_6,80
file_confidence_09_conseq_4_anteced_1,34
file_confidence_09_conseq_4_anteced_2,386
file_confidence_09_conseq_4_anteced_3,812
file_confidence_09_conseq_4_anteced_4,520
file_confidence_09_conseq_4_anteced_5,99
file_confidence_09_conseq_5_anteced_1,5
file_confidence_09_conseq_5_anteced_2,110
file_confidence_09_conseq_5_anteced_3,184
file_confidence_09_conseq_5_anteced_4,65
file_confidence_09_conseq_6_anteced_2,20
file_confidence_09_conseq_6_anteced_3,20
file_confidence_09_conseq_7_anteced_2,2
