,Sample combination,Bray_curtis_value
227,"(6, 15)",0.32
228,"(6, 16)",0.49
229,"(6, 17)",0.52
230,"(6, 18)",0.72
231,"(6, 19)",0.73
232,"(6, 20)",0.78
233,"(6, 21)",0.67
234,"(6, 22)",0.68
235,"(6, 23)",0.82
236,"(6, 24)",0.82
237,"(6, 25)",0.72
238,"(6, 26)",0.72
239,"(6, 27)",0.36
240,"(6, 28)",0.51
241,"(6, 29)",0.48
242,"(6, 30)",0.46
243,"(6, 31)",0.71
244,"(6, 32)",0.71
245,"(6, 33)",0.8
246,"(6, 34)",0.8
247,"(6, 35)",0.74
248,"(6, 36)",0.74
249,"(6, 37)",0.37
250,"(6, 38)",0.37
251,"(6, 39)",0.02
252,"(7, 8)",0.77
253,"(7, 9)",0.77
254,"(7, 10)",0.4
255,"(7, 11)",0.41
256,"(7, 12)",0.41
257,"(7, 13)",0.41
258,"(7, 14)",0.42
259,"(7, 15)",0.43
260,"(7, 16)",0.62
261,"(7, 17)",0.64
262,"(7, 18)",0.73
263,"(7, 19)",0.73
264,"(7, 20)",0.74
265,"(7, 21)",0.61
266,"(7, 22)",0.6
267,"(7, 23)",0.62
268,"(7, 24)",0.64
269,"(7, 25)",0.58
270,"(7, 26)",0.56
271,"(7, 27)",0.02
272,"(7, 28)",0.47
273,"(7, 29)",0.47
274,"(7, 30)",0.47
275,"(7, 31)",0.66
276,"(7, 32)",0.65
277,"(7, 33)",0.79
278,"(7, 34)",0.79
279,"(7, 35)",0.75
280,"(7, 36)",0.76
281,"(7, 37)",0.01
282,"(7, 38)",0.01
283,"(7, 39)",0.38
284,"(8, 9)",0.03
285,"(8, 10)",0.53
286,"(8, 11)",0.53
287,"(8, 12)",0.53
288,"(8, 13)",0.53
289,"(8, 14)",0.59
290,"(8, 15)",0.59
291,"(8, 16)",0.48
292,"(8, 17)",0.42
293,"(8, 18)",0.34
294,"(8, 19)",0.33
295,"(8, 20)",0.33
296,"(8, 21)",0.37
297,"(8, 22)",0.38
298,"(8, 23)",0.56
299,"(8, 24)",0.56
300,"(8, 25)",0.56
301,"(8, 26)",0.57
302,"(8, 27)",0.77
303,"(8, 28)",0.37
304,"(8, 29)",0.39
305,"(8, 30)",0.42
306,"(8, 31)",0.3
307,"(8, 32)",0.3
308,"(8, 33)",0.07
309,"(8, 34)",0.06
310,"(8, 35)",0.29
311,"(8, 36)",0.29
312,"(8, 37)",0.77
313,"(8, 38)",0.76
314,"(8, 39)",0.77
315,"(9, 10)",0.52
316,"(9, 11)",0.52
317,"(9, 12)",0.52
318,"(9, 13)",0.52
319,"(9, 14)",0.59
320,"(9, 15)",0.58
321,"(9, 16)",0.48
322,"(9, 17)",0.42
323,"(9, 18)",0.33
324,"(9, 19)",0.33
325,"(9, 20)",0.33
326,"(9, 21)",0.37
327,"(9, 22)",0.37
328,"(9, 23)",0.55
329,"(9, 24)",0.56
330,"(9, 25)",0.55
331,"(9, 26)",0.56
332,"(9, 27)",0.77
333,"(9, 28)",0.37
334,"(9, 29)",0.38
335,"(9, 30)",0.42
336,"(9, 31)",0.29
337,"(9, 32)",0.29
338,"(9, 33)",0.07
339,"(9, 34)",0.06
340,"(9, 35)",0.28
341,"(9, 36)",0.28
342,"(9, 37)",0.76
343,"(9, 38)",0.76
344,"(9, 39)",0.77
345,"(10, 11)",0.02
346,"(10, 12)",0.02
347,"(10, 13)",0.03
348,"(10, 14)",0.13
349,"(10, 15)",0.13
350,"(10, 16)",0.31
351,"(10, 17)",0.32
352,"(10, 18)",0.47
353,"(10, 19)",0.47
354,"(10, 20)",0.54
355,"(10, 21)",0.46
356,"(10, 22)",0.46
357,"(10, 23)",0.75
358,"(10, 24)",0.76
359,"(10, 25)",0.67
360,"(10, 26)",0.67
361,"(10, 27)",0.39
362,"(10, 28)",0.28
363,"(10, 29)",0.24
364,"(10, 30)",0.22
365,"(10, 31)",0.46
366,"(10, 32)",0.45
367,"(10, 33)",0.56
368,"(10, 34)",0.56
369,"(10, 35)",0.47
370,"(10, 36)",0.47
371,"(10, 37)",0.4
372,"(10, 38)",0.4
373,"(10, 39)",0.29
374,"(11, 12)",0.03
375,"(11, 13)",0.03
376,"(11, 14)",0.14
377,"(11, 15)",0.13
378,"(11, 16)",0.3
379,"(11, 17)",0.32
380,"(11, 18)",0.47
381,"(11, 19)",0.47
382,"(11, 20)",0.54
383,"(11, 21)",0.45
384,"(11, 22)",0.46
385,"(11, 23)",0.76
386,"(11, 24)",0.76
387,"(11, 25)",0.67
388,"(11, 26)",0.67
389,"(11, 27)",0.4
390,"(11, 28)",0.27
391,"(11, 29)",0.24
392,"(11, 30)",0.22
393,"(11, 31)",0.46
394,"(11, 32)",0.45
395,"(11, 33)",0.55
396,"(11, 34)",0.55
397,"(11, 35)",0.46
398,"(11, 36)",0.47
