,Sample combination,Bray_curtis_value
227,"(6, 15)",0.03
228,"(6, 16)",0.05
229,"(6, 17)",0.05
230,"(6, 18)",0.03
231,"(6, 19)",0.03
232,"(6, 20)",0.04
233,"(6, 21)",0.07
234,"(6, 22)",0.07
235,"(6, 23)",0.04
236,"(6, 24)",0.04
237,"(6, 25)",0.05
238,"(6, 26)",0.05
239,"(6, 27)",0.06
240,"(6, 28)",0.02
241,"(6, 29)",0.02
242,"(6, 30)",0.02
243,"(6, 31)",0.03
244,"(6, 32)",0.03
245,"(6, 33)",0.02
246,"(6, 34)",0.02
247,"(6, 35)",0.03
248,"(6, 36)",0.03
249,"(6, 37)",0.06
250,"(6, 38)",0.06
251,"(6, 39)",0.0
252,"(7, 8)",0.05
253,"(7, 9)",0.05
254,"(7, 10)",0.07
255,"(7, 11)",0.07
256,"(7, 12)",0.07
257,"(7, 13)",0.07
258,"(7, 14)",0.07
259,"(7, 15)",0.07
260,"(7, 16)",0.09
261,"(7, 17)",0.09
262,"(7, 18)",0.07
263,"(7, 19)",0.07
264,"(7, 20)",0.05
265,"(7, 21)",0.06
266,"(7, 22)",0.06
267,"(7, 23)",0.08
268,"(7, 24)",0.08
269,"(7, 25)",0.09
270,"(7, 26)",0.09
271,"(7, 27)",0.0
272,"(7, 28)",0.06
273,"(7, 29)",0.07
274,"(7, 30)",0.07
275,"(7, 31)",0.06
276,"(7, 32)",0.06
277,"(7, 33)",0.04
278,"(7, 34)",0.04
279,"(7, 35)",0.08
280,"(7, 36)",0.08
281,"(7, 37)",0.01
282,"(7, 38)",0.0
283,"(7, 39)",0.06
284,"(8, 9)",0.0
285,"(8, 10)",0.02
286,"(8, 11)",0.02
287,"(8, 12)",0.02
288,"(8, 13)",0.02
289,"(8, 14)",0.03
290,"(8, 15)",0.03
291,"(8, 16)",0.05
292,"(8, 17)",0.04
293,"(8, 18)",0.02
294,"(8, 19)",0.02
295,"(8, 20)",0.03
296,"(8, 21)",0.07
297,"(8, 22)",0.06
298,"(8, 23)",0.04
299,"(8, 24)",0.04
300,"(8, 25)",0.05
301,"(8, 26)",0.05
302,"(8, 27)",0.05
303,"(8, 28)",0.02
304,"(8, 29)",0.02
305,"(8, 30)",0.02
306,"(8, 31)",0.02
307,"(8, 32)",0.02
308,"(8, 33)",0.01
309,"(8, 34)",0.01
310,"(8, 35)",0.03
311,"(8, 36)",0.03
312,"(8, 37)",0.05
313,"(8, 38)",0.05
314,"(8, 39)",0.02
315,"(9, 10)",0.02
316,"(9, 11)",0.02
317,"(9, 12)",0.02
318,"(9, 13)",0.02
319,"(9, 14)",0.03
320,"(9, 15)",0.03
321,"(9, 16)",0.04
322,"(9, 17)",0.04
323,"(9, 18)",0.02
324,"(9, 19)",0.02
325,"(9, 20)",0.03
326,"(9, 21)",0.07
327,"(9, 22)",0.07
328,"(9, 23)",0.04
329,"(9, 24)",0.04
330,"(9, 25)",0.05
331,"(9, 26)",0.05
332,"(9, 27)",0.05
333,"(9, 28)",0.02
334,"(9, 29)",0.02
335,"(9, 30)",0.02
336,"(9, 31)",0.03
337,"(9, 32)",0.02
338,"(9, 33)",0.01
339,"(9, 34)",0.01
340,"(9, 35)",0.03
341,"(9, 36)",0.03
342,"(9, 37)",0.05
343,"(9, 38)",0.05
344,"(9, 39)",0.02
345,"(10, 11)",0.0
346,"(10, 12)",0.01
347,"(10, 13)",0.01
348,"(10, 14)",0.01
349,"(10, 15)",0.01
350,"(10, 16)",0.03
351,"(10, 17)",0.03
352,"(10, 18)",0.01
353,"(10, 19)",0.01
354,"(10, 20)",0.04
355,"(10, 21)",0.08
356,"(10, 22)",0.07
357,"(10, 23)",0.03
358,"(10, 24)",0.03
359,"(10, 25)",0.04
360,"(10, 26)",0.04
361,"(10, 27)",0.07
362,"(10, 28)",0.02
363,"(10, 29)",0.01
364,"(10, 30)",0.01
365,"(10, 31)",0.03
366,"(10, 32)",0.03
367,"(10, 33)",0.03
368,"(10, 34)",0.03
369,"(10, 35)",0.03
370,"(10, 36)",0.03
371,"(10, 37)",0.07
