,Sample number,Alpha diversity
0,0,114
1,1,113
2,2,112
3,3,113
4,4,115
5,5,113
6,6,113
7,7,112
8,8,114
9,9,114
10,10,112
11,11,112
12,12,113
13,13,113
14,14,112
15,15,112
16,16,113
17,17,113
18,18,114
19,19,114
20,20,114
21,21,114
22,22,112
23,23,116
24,24,115
25,25,115
26,26,116
27,27,112
28,28,114
29,29,113
30,30,114
31,31,114
32,32,112
33,33,113
34,34,115
35,35,114
36,36,114
37,37,113
38,38,112
39,39,113
